	FAP1	FAP2	FAP3	FAP5	FAP4
ClienteP	791	677	2450	1323	954
ClienteP	668	553	2345	1354	830
ClienteP	1418	700	3077	183	1048
ClienteP	1363	645	3022	238	993
ClienteP	1640	922	3298	312	1270
ClienteP	1878	1611	3526	1048	1512
ClienteP	1942	1675	3589	1098	1575
ClienteP	1990	1723	3638	1050	1624
ClienteP	2032	1765	3680	1008	1666
ClienteP	2044	1777	3691	931	1677
ClienteP	2073	1806	3720	968	1706
ClienteP	2014	1747	3661	1184	1648
ClienteP	2054	1787	3701	1223	1687
ClienteP	2111	1844	3758	1280	1744
ClienteP	2153	1887	3801	1323	1787
